date  bdrm  price unit  area
2026-06-12 1 1013 A-108 630
2026-06-12 1 983 A-110 630
2026-06-12 1 1033 A-302 630
2026-06-12 1 1042 A-404 630
2026-06-12 1 1062 A-602 630
2026-06-12 1 1062 A-610 630
2026-06-12 1 1013 B-108 630
2026-06-12 1 1057 B-309 630
2026-06-12 1 1033 B-310 630
2026-06-12 1 1067 B-408 630
2026-06-12 1 1052 B-507 630
2026-07-03 1 1039 B-110 630
2026-07-07 1 1079 B-509 630
2026-07-13 1 1094 B-409 630
2026-08-23 1 1033 A-310 630
2026-06-12 2 1379 A-111 985
2026-06-12 2 1286 A-300 880
2026-06-12 2 1286 A-305 880
2026-06-12 2 1286 A-312 880
2026-06-12 2 1296 A-403 880
2026-06-12 2 1296 A-405 880
2026-06-12 2 1418 A-501 985
2026-06-12 2 1306 A-503 880
2026-06-12 2 1315 A-603 880
2026-06-12 2 1275 B-102 880
2026-06-12 2 1388 B-201 985
2026-06-12 2 1296 B-405 880
2026-06-12 2 1306 B-500 880
2026-06-12 2 1306 B-512 880
2026-06-12 2 1315 B-605 880
2026-06-29 2 1320 B-111 985
2026-07-05 2 1276 B-203 880
2026-08-11 2 1398 B-301 985
