date  bdrm  price unit  area
2026-05-06 1 988 A-306 580
2026-05-06 1 1052 A-510 630
2026-05-06 1 1017 B-606 580
2026-05-07 1 1057 B-309 630
2026-05-07 1 1067 B-408 630
2026-05-07 1 1062 B-610 630
2026-05-12 1 1062 A-602 630
2026-05-23 1 1013 A-108 630
2026-06-02 1 1039 B-108 630
2026-06-04 1 1069 A-404 630
2026-06-04 1 1079 B-507 630
2026-06-05 1 1059 A-302 630
2026-06-07 1 1089 A-610 630
2026-06-07 1 1059 B-310 630
2026-07-03 1 1039 B-110 630
2026-07-07 1 1079 B-509 630
2026-07-14 1 1069 A-402 630
2026-05-06 2 1379 A-111 985
2026-05-06 2 1276 A-203 880
2026-05-06 2 1286 A-305 880
2026-05-06 2 1286 A-312 880
2026-05-06 2 1296 A-403 880
2026-05-06 2 1296 A-405 880
2026-05-06 2 1418 A-501 985
2026-05-06 2 1306 A-503 880
2026-05-06 2 1315 A-603 880
2026-05-06 2 1275 B-102 880
2026-05-06 2 1296 B-405 880
2026-05-06 2 1306 B-512 880
2026-05-06 2 1315 B-605 880
2026-05-07 2 1369 B-511 985
2026-05-08 2 1286 B-303 880
2026-06-03 2 1286 A-300 880
2026-06-06 2 1306 B-500 880
