date  bdrm  price unit  area
2026-07-06 1 1840 51-102 649
2026-07-06 1 1654 67-203 777
2026-07-10 1 1980 55-103 630
2026-07-21 1 1941 81-102 649
2026-09-04 1 1704 67-204 777
2026-09-07 1 1883 63-102 688
2026-07-06 2 2228 67-306 1071
2026-07-11 2 2194 65-201 1082
2026-07-13 2 2147 63-206 1071
2026-07-18 2 2161 71-304 1082
