date  bdrm  price unit  area
2026-05-22 2 2132 102 1456
2026-05-22 2 2167 403 1456
2026-05-22 2 2167 1101 1456
2026-06-02 2 2177 307 1456
2026-06-04 2 2197 1503 1456
2026-06-09 2 2197 203 1456
2026-06-11 2 2162 606 1456
2026-06-11 2 2162 706 1456
2026-06-14 2 2162 813 1456
2026-06-24 2 2197 1205 1456
2026-06-26 2 2197 1314 1456
2026-06-29 2 2162 1306 1456
2026-07-03 2 2197 712 1456
2026-07-07 2 2162 111 1456
2026-07-07 2 2197 1210 1456
2026-07-25 2 2197 605 1456
2026-08-06 2 2197 611 1456
2026-08-07 2 2162 1413 1456
