date  bdrm  price unit  area
2026-04-26 2 2091 102 1456
2026-04-26 2 2125 205 1456
2026-04-26 2 2091 213 1456
2026-04-26 2 2125 403 1456
2026-04-26 2 2430 608 1556
2026-04-26 2 2125 1101 1456
2026-04-26 2 2125 1103 1456
2026-04-26 2 2091 1106 1456
2026-04-26 2 2091 1211 1456
2026-04-26 2 2091 1212 1456
2026-04-26 2 2391 1308 1556
2026-06-09 2 2155 203 1456
2026-06-09 2 2121 706 1456
2026-06-15 2 2391 308 1556
2026-06-21 2 2121 702 1456
2026-06-27 2 2121 607 1456
2026-06-29 2 2121 1306 1456
2026-07-07 2 2175 111 1456
2026-07-07 2 2210 1210 1456
