date  bdrm  price unit  area
2026-05-01 1 1399 B-303 650
2026-05-01 1 1358 J-204 650
2026-05-01 1 1368 J-305 650
2026-05-05 1 1458 A-206 650
2026-05-07 1 1493 B-203 650
2026-05-07 1 1503 B-306 650
2026-05-23 1 1458 H-201 650
2026-05-26 1 1531 B-305 650
2026-07-07 1 1522 A-207 650
2026-07-11 1 1512 F-102 650
2026-07-14 1 1512 G-105 650
2026-05-01 2 1803 B-208 950
2026-05-01 2 1789 H-103 900
2026-05-22 2 1711 E-204 900
2026-05-24 2 1715 J-202 950
2026-05-26 2 1652 D-102 850
2026-06-15 2 1725 J-308 950
2026-06-30 2 1711 D-203 900
2026-07-15 2 1574 D-206 850
