date  bdrm  price unit  area
2026-09-11 0 1155 1-524 565
2026-08-17 1 1310 1-429 770
2026-08-17 1 1232 1-129 780
2026-08-17 1 1242 1-207 780
2026-08-17 1 1252 1-306 780
2026-08-17 1 1267 1-308 780
2026-08-17 1 1310 1-409 780
2026-08-17 1 1257 1-130 790
2026-08-17 1 1286 1-110 790
2026-10-01 1 1219 5-104 730
2026-10-01 1 1307 1-203 780
2026-10-05 1 1336 1-106 790
2026-10-12 1 1331 1-109 780
2026-08-17 2 1415 2-304 730
2026-08-17 2 1420 3-201 730
2026-08-28 2 1440 6-304 730
2026-09-02 2 1366 3-405 730
2026-09-03 2 1810 3-306 905
2026-09-12 2 1396 4-202 730
2026-09-13 2 1405 6-303 730
2026-09-29 2 1839 5-101 905
