date  bdrm  price unit  area
2026-09-11 0 1149 1-524 565
2026-08-14 1 1307 1-429 770
2026-08-14 1 1239 1-207 780
2026-08-14 1 1249 1-306 780
2026-08-14 1 1307 1-409 780
2026-08-14 1 1254 1-130 790
2026-08-14 1 1283 1-110 790
2026-08-17 1 1229 1-129 780
2026-10-01 1 1216 5-104 730
2026-10-01 1 1304 1-203 780
2026-10-05 1 1333 1-106 790
2026-10-12 1 1328 1-109 780
2026-08-14 2 1427 2-304 730
2026-08-14 2 1432 3-201 730
2026-08-28 2 1452 6-304 730
2026-09-02 2 1378 3-405 730
2026-09-03 2 1799 3-306 905
2026-09-12 2 1407 4-202 730
2026-09-13 2 1417 6-303 730
2026-09-29 2 1828 5-101 905
