date  bdrm  price unit  area
2026-06-08 1 1142 5-203 730
2026-06-08 1 1229 1-328 780
2026-06-08 1 1225 1-107 780
2026-06-08 1 1234 1-211 780
2026-06-08 1 1244 1-303 780
2026-06-08 1 1244 1-311 780
2026-06-08 1 1288 1-408 780
2026-06-08 1 1288 1-409 780
2026-06-08 1 1264 1-511 780
2026-06-08 1 1264 1-512 780
2026-06-08 1 1264 1-132 790
2026-07-07 1 1365 1-225 780
2026-07-07 1 1321 1-405 780
2026-07-22 1 1311 1-306 780
2026-07-30 1 1346 1-110 790
2026-08-10 1 1289 1-521 745
2026-08-28 1 1289 1-430 780
2026-06-08 2 1276 2-205 730
2026-06-08 2 1271 3-305 730
2026-06-08 2 1252 7-203 730
2026-06-13 2 1321 2-304 730
2026-06-22 2 1258 3-102 730
2026-06-24 2 1239 3-204 730
2026-07-05 2 1307 3-402 730
2026-07-20 2 1326 3-201 730
2026-08-01 2 1307 6-102 730
