date  bdrm  price unit  area
2026-09-11 0 1155 1-524 565
2026-08-19 1 1312 1-429 770
2026-08-19 1 1234 1-129 780
2026-08-19 1 1244 1-207 780
2026-08-19 1 1268 1-308 780
2026-08-19 1 1312 1-409 780
2026-08-19 1 1259 1-130 790
2026-08-19 1 1288 1-110 790
2026-10-01 1 1221 5-104 730
2026-10-01 1 1309 1-203 780
2026-10-05 1 1338 1-106 790
2026-10-12 1 1333 1-109 780
2026-08-19 2 1407 2-304 730
2026-08-19 2 1412 3-201 730
2026-08-28 2 1432 6-304 730
2026-09-02 2 1358 3-405 730
2026-09-03 2 1818 3-306 905
2026-09-11 2 1388 4-202 730
2026-09-13 2 1397 6-303 730
2026-09-29 2 1847 5-101 905
