date  bdrm  price unit  area
2026-09-11 0 1155 1-524 565
2026-08-26 1 1313 1-429 770
2026-08-26 1 1235 1-129 780
2026-08-26 1 1245 1-207 780
2026-08-26 1 1255 1-306 780
2026-08-26 1 1289 1-110 790
2026-10-01 1 1285 1-111 780
2026-10-01 1 1310 1-203 780
2026-10-05 1 1339 1-106 790
2026-10-12 1 1334 1-109 780
2026-08-26 2 1384 2-304 730
2026-08-26 2 1389 3-201 730
2026-08-28 2 1359 6-304 730
2026-09-02 2 1369 3-405 730
2026-09-03 2 1826 3-306 905
2026-09-03 2 1466 7-201 905
2026-09-11 2 1399 4-202 730
2026-09-13 2 1409 6-303 730
2026-09-29 2 1855 5-101 905
