date  bdrm  price unit  area
2026-07-02 0 1042 1-324 565
2026-05-01 1 1332 1-315 765
2026-05-01 1 1278 1-418 765
2026-05-01 1 1278 1-420 765
2026-05-01 1 1244 1-325 780
2026-05-01 1 1229 1-328 780
2026-05-01 1 1278 1-334 780
2026-05-01 1 1239 1-433 780
2026-05-01 1 1205 1-205 780
2026-05-01 1 1234 1-211 780
2026-05-01 1 1229 1-309 780
2026-05-01 1 1288 1-409 780
2026-05-10 1 1338 1-517 765
2026-05-13 1 1275 1-107 780
2026-05-19 1 1294 1-303 780
2026-05-26 1 1279 1-322 745
2026-05-29 1 1294 1-333 780
2026-05-30 1 1314 1-132 790
2026-06-02 1 1338 1-408 780
2026-06-05 1 1314 1-511 780
2026-06-22 1 1289 1-434 780
2026-08-28 1 1289 1-430 780
2026-05-01 2 1292 2-205 730
2026-05-01 2 1287 3-305 730
2026-05-01 2 1253 6-202 730
2026-05-01 2 1253 6-204 730
2026-05-01 2 1267 7-203 730
2026-05-02 2 1297 2-403 730
2026-06-13 2 1337 2-304 730
2026-06-22 2 1239 4-305 730
2026-06-24 2 1254 3-204 730
2026-07-05 2 1322 3-402 730
