date  bdrm  price unit  area
2026-09-11 0 1151 1-524 565
2026-08-15 1 1308 1-429 770
2026-08-15 1 1240 1-207 780
2026-08-15 1 1250 1-306 780
2026-08-15 1 1265 1-308 780
2026-08-15 1 1308 1-409 780
2026-08-15 1 1255 1-130 790
2026-08-15 1 1284 1-110 790
2026-08-17 1 1230 1-129 780
2026-10-01 1 1217 5-104 730
2026-10-01 1 1305 1-203 780
2026-10-05 1 1334 1-106 790
2026-10-12 1 1329 1-109 780
2026-08-15 2 1423 2-304 730
2026-08-15 2 1428 3-201 730
2026-08-28 2 1448 6-304 730
2026-09-02 2 1374 3-405 730
2026-09-03 2 1802 3-306 905
2026-09-12 2 1403 4-202 730
2026-09-13 2 1413 6-303 730
2026-09-29 2 1832 5-101 905
