date  bdrm  price unit  area
2026-09-11 0 1147 1-524 565
2026-08-11 1 1305 1-429 770
2026-08-11 1 1280 1-511 780
2026-08-11 1 1280 1-110 790
2026-10-01 1 1213 5-104 730
2026-10-01 1 1301 1-203 780
2026-10-05 1 1330 1-106 790
2026-10-12 1 1325 1-109 780
2026-08-11 2 1437 2-304 730
2026-08-11 2 1442 3-201 730
2026-08-11 2 1422 6-102 730
2026-08-28 2 1462 6-304 730
2026-09-02 2 1388 3-405 730
2026-09-03 2 1787 3-306 905
2026-09-12 2 1417 4-202 730
2026-09-13 2 1427 6-303 730
2026-09-29 2 1816 5-101 905
