date  bdrm  price unit  area
2026-06-22 1 1142 5-203 730
2026-06-22 1 1278 1-420 765
2026-06-22 1 1288 1-429 770
2026-06-22 1 1225 1-107 780
2026-06-22 1 1244 1-303 780
2026-06-22 1 1288 1-408 780
2026-06-22 1 1288 1-409 780
2026-06-22 1 1264 1-511 780
2026-06-22 1 1264 1-512 780
2026-06-22 1 1264 1-132 790
2026-07-07 1 1365 1-225 780
2026-07-07 1 1321 1-405 780
2026-07-22 1 1311 1-306 780
2026-07-30 1 1346 1-110 790
2026-08-10 1 1289 1-521 745
2026-08-19 1 1284 1-230 780
2026-08-28 1 1289 1-430 780
2026-06-22 2 1166 4-305 730
2026-06-22 2 1244 7-203 730
2026-07-04 2 1364 2-101 905
2026-07-05 2 1299 3-402 730
2026-07-20 2 1318 3-201 730
2026-08-01 2 1299 6-102 730
2026-08-06 2 1265 6-201 730
2026-08-24 2 1437 7-205 905
