date  bdrm  price unit  area
2026-09-11 0 1153 1-524 565
2026-08-16 1 1309 1-429 770
2026-08-16 1 1241 1-207 780
2026-08-16 1 1251 1-306 780
2026-08-16 1 1266 1-308 780
2026-08-16 1 1309 1-409 780
2026-08-16 1 1256 1-130 790
2026-08-16 1 1285 1-110 790
2026-08-17 1 1231 1-129 780
2026-10-01 1 1218 5-104 730
2026-10-01 1 1306 1-203 780
2026-10-05 1 1335 1-106 790
2026-10-12 1 1330 1-109 780
2026-08-16 2 1419 2-304 730
2026-08-16 2 1424 3-201 730
2026-08-28 2 1444 6-304 730
2026-09-02 2 1370 3-405 730
2026-09-03 2 1806 3-306 905
2026-09-12 2 1399 4-202 730
2026-09-13 2 1409 6-303 730
2026-09-29 2 1836 5-101 905
