date  bdrm  price unit  area
2026-09-11 0 1155 1-524 565
2026-08-30 1 1307 1-429 770
2026-08-30 1 1229 1-129 780
2026-08-30 1 1303 1-225 780
2026-08-30 1 1239 1-207 780
2026-08-30 1 1283 1-110 790
2026-10-01 1 1279 1-111 780
2026-10-01 1 1304 1-203 780
2026-10-05 1 1333 1-106 790
2026-10-12 1 1328 1-109 780
2026-08-30 2 1389 3-201 730
2026-08-30 2 1369 6-102 730
2026-08-30 2 1359 6-304 730
2026-09-02 2 1319 3-405 730
2026-09-03 2 1790 3-306 905
2026-09-03 2 1466 7-201 905
2026-09-11 2 1399 4-202 730
2026-09-13 2 1409 6-303 730
2026-09-29 2 1855 5-101 905
