date  bdrm  price unit  area
2026-09-11 0 1155 1-524 565
2026-08-18 1 1311 1-429 770
2026-08-18 1 1233 1-129 780
2026-08-18 1 1243 1-207 780
2026-08-18 1 1253 1-306 780
2026-08-18 1 1268 1-308 780
2026-08-18 1 1311 1-409 780
2026-08-18 1 1258 1-130 790
2026-08-18 1 1287 1-110 790
2026-10-01 1 1220 5-104 730
2026-10-01 1 1308 1-203 780
2026-10-05 1 1337 1-106 790
2026-10-12 1 1332 1-109 780
2026-08-18 2 1411 2-304 730
2026-08-18 2 1416 3-201 730
2026-08-28 2 1436 6-304 730
2026-09-02 2 1362 3-405 730
2026-09-03 2 1814 3-306 905
2026-09-12 2 1392 4-202 730
2026-09-13 2 1401 6-303 730
2026-09-29 2 1843 5-101 905
