date  bdrm  price unit  area
2026-09-17 1 1327 1-429 770
2026-09-17 1 1247 1-129 780
2026-09-17 1 1277 1-430 780
2026-10-01 1 1297 1-111 780
2026-10-05 1 1352 1-106 790
2026-10-12 1 1347 1-109 780
2026-10-15 1 1351 1-526 780
2026-09-17 2 1392 2-304 730
2026-09-17 2 1397 3-201 730
2026-09-17 2 1357 4-202 730
2026-09-17 2 1377 6-102 730
2026-09-17 2 1367 6-303 730
2026-09-17 2 1367 6-304 730
2026-09-17 2 1782 3-306 905
2026-09-17 2 1424 7-201 905
2026-09-29 2 1837 5-101 905
2026-10-08 2 1324 2-202 730
2026-10-17 2 1521 2-301 905
2026-10-18 2 1339 3-202 730
