date  bdrm  price unit  area
2026-05-26 0 1045 1-414 565
2026-05-26 1 1278 1-420 765
2026-05-26 1 1244 1-325 780
2026-05-26 1 1225 1-107 780
2026-05-26 1 1205 1-205 780
2026-05-26 1 1234 1-211 780
2026-05-26 1 1244 1-303 780
2026-05-26 1 1229 1-309 780
2026-05-26 1 1288 1-409 780
2026-05-26 1 1249 1-508 780
2026-05-28 1 1264 1-512 780
2026-05-30 1 1314 1-132 790
2026-06-02 1 1338 1-408 780
2026-06-03 1 1294 1-311 780
2026-06-05 1 1192 5-203 730
2026-06-05 1 1314 1-511 780
2026-06-23 1 1338 1-517 765
2026-08-28 1 1289 1-430 780
2026-05-26 2 1276 2-205 730
2026-05-26 2 1271 3-305 730
2026-05-26 2 1252 7-203 730
2026-05-26 2 1422 2-201 905
2026-06-13 2 1321 2-304 730
2026-06-22 2 1258 3-102 730
2026-06-22 2 1224 4-305 730
2026-06-24 2 1239 3-204 730
2026-07-05 2 1307 3-402 730
