date  bdrm  price unit  area
2026-09-11 0 1147 1-524 565
2026-08-13 1 1307 1-429 770
2026-08-13 1 1248 1-306 780
2026-08-13 1 1307 1-409 780
2026-08-13 1 1282 1-110 790
2026-08-17 1 1229 1-129 780
2026-10-01 1 1215 5-104 730
2026-10-01 1 1303 1-203 780
2026-10-05 1 1332 1-106 790
2026-10-12 1 1327 1-109 780
2026-08-13 2 1431 2-304 730
2026-08-13 2 1436 3-201 730
2026-08-28 2 1456 6-304 730
2026-09-02 2 1382 3-405 730
2026-09-03 2 1795 3-306 905
2026-09-12 2 1411 4-202 730
2026-09-13 2 1421 6-303 730
2026-09-29 2 1824 5-101 905
