date  bdrm  price unit  area
2026-09-19 1 1321 1-429 770
2026-09-19 1 1241 1-129 780
2026-09-19 1 1271 1-430 780
2026-10-01 1 1291 1-111 780
2026-10-05 1 1346 1-106 790
2026-10-12 1 1341 1-109 780
2026-10-15 1 1346 1-526 780
2026-09-19 2 1387 2-304 730
2026-09-19 2 1392 3-201 730
2026-09-19 2 1322 3-405 730
2026-09-19 2 1352 4-202 730
2026-09-19 2 1372 6-102 730
2026-09-19 2 1362 6-303 730
2026-09-19 2 1362 6-304 730
2026-09-19 2 1419 7-201 905
2026-09-29 2 1837 5-101 905
2026-10-08 2 1352 2-202 730
2026-10-18 2 1367 3-202 730
