date  bdrm  price unit  area
2026-07-14 1 1449 01-303 643
2026-06-01 2 1569 11-104 775
2026-06-12 2 1588 05-302 775
2026-08-31 2 1619 13-201 775
2026-06-01 3 1749 21-201 970
2026-06-01 3 1886 25-101 970
2026-06-01 3 1886 25-102 970
2026-06-01 3 1764 25-203 970
2026-06-01 3 1840 25-303 970
2026-08-07 3 1759 25-301 970
2026-06-01 4 2086 07-103 1125
2026-06-02 4 2106 07-304 1125
