date  bdrm  price unit  area
2026-05-17 2 2975 0380 1070
2026-06-02 2 3051 0180 1070
2026-06-05 2 3051 0130 1070
2026-08-30 2 2975 0230 1070
2026-05-20 3 3295 1131 1605
2026-06-07 3 3295 0260 1595
2026-06-10 3 3295 0188 1605
2026-06-14 3 3270 0290 1605
2026-07-24 3 3295 1110 1605
2026-07-26 3 3295 1125 1605
