num  date  bdrm  price unit  area
0: 2025-10-01 0 1043 825.204 370
1: 2026-03-07 0 916 890.206 405
2: 2026-03-13 0 1093 820.14 415
3: 2026-05-04 0 944 880.303 415
4: 2026-05-07 0 1185 825.804 370
5: 2026-04-10 1 1221 820.15 615
6: 2026-05-28 1 1221 820.11 615
7: 2025-12-29 2 1493 825.201 747
8: 2026-02-20 2 1572 825.301 747
9: 2026-02-25 2 1593 825.205 787
